Metodos	DFP	BFGS	Huang	Biggs
Media	0.006318858	0.006613424	0.006247534	0.006257108
Mediana	0.0063449	0.00609305	0.0059446	0.00577185
Desvio_Padrao	0.00120427793678051	0.00199718543849558	0.00129627452506428	0.00135673849357004
Erro_Padrao	0.000170310619106169	0.00028244467336945	0.000183320901390464	0.000191871797820039
Variancia	1.45028534901633e-06	3.98874967573878e-06	1.68032764433061e-06	1.84073933993469e-06
Minimo	0.0043255	0.004052	0.0045566	0.0043382
Maximo	0.0096133	0.0155422	0.0115498	0.0111002
N_Dados	50	50	50	50
