Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
DFP	0.0091468	9	10	1.97153234750579e-07	0
DFP	0.0069814	9	10	4.60508111460592e-07	0
DFP	0.006418	8	9	6.36033481539572e-07	0
DFP	0.0048066	7	8	1.09962476264147e-05	0
DFP	0.0082445	9	10	1.00033793510973e-06	0
DFP	0.0082156	10	11	6.12615299524142e-07	0
DFP	0.0072824	8	9	4.80008786834587e-07	0
DFP	0.0071678	8	9	3.74478873132653e-07	0
DFP	0.0069398	9	10	5.14024759271289e-07	0
DFP	0.0061251	8	9	1.64385342702652e-07	0
DFP	0.0070431	9	10	5.20454883396996e-07	0
DFP	0.0076309	10	11	5.19258433053613e-07	0
DFP	0.0078919	10	11	3.32416459136191e-07	0
DFP	0.0059629	7	8	2.37900762462755e-07	-1.11022302462516e-16
DFP	0.0072115	9	10	7.16003728709115e-08	0
DFP	0.0057383	8	9	1.5237326316817e-07	0
DFP	0.0065296	8	9	2.94594344056386e-07	3.33066907387547e-16
DFP	0.0077538	9	10	4.16686533399955e-06	0
DFP	0.0066496	9	10	7.63377429961102e-07	0
DFP	0.0072119	8	9	4.93390138482134e-07	0
DFP	0.0094855	11	12	1.11659631486589e-07	0
DFP	0.0073765	9	10	2.76214429561722e-07	0
DFP	0.0063634	9	10	2.92333121603646e-07	0
DFP	0.007364	8	9	7.67315117816049e-09	0
DFP	0.0058369	8	9	2.64407358678218e-08	0
DFP	0.0076129	9	10	4.40092132977379e-07	0
DFP	0.0068165	8	9	2.56167298653214e-07	-1.11022302462516e-16
DFP	0.0097922	11	12	8.24252862334118e-07	0
DFP	0.0083818	10	11	3.78829303146691e-07	0
DFP	0.0083334	11	12	1.38999835388698e-08	0
DFP	0.0073385	9	10	4.191917331464e-07	0
DFP	0.0056226	8	9	1.89212277562307e-06	0
DFP	0.0066667	9	10	4.33928742058848e-07	0
DFP	0.0083348	10	11	3.41952275792263e-07	0
DFP	0.0059882	8	9	5.64077332763708e-08	0
DFP	0.0083717	9	10	6.62580428548124e-06	0
DFP	0.0047737	7	8	5.18198762465738e-08	0
DFP	0.0089875	8	9	4.77189883634052e-06	0
DFP	0.0128512	11	12	2.90632279151619e-07	0
DFP	0.0085059	10	11	2.04675882489172e-07	0
DFP	0.0073233	8	9	1.69677534474113e-07	0
DFP	0.0090537	8	9	2.10718741209047e-07	0
DFP	0.006904	7	8	1.37342599666162e-05	0
DFP	0.0068777	9	10	3.90453992565156e-07	0
DFP	0.0056881	8	9	3.42155215460554e-07	0
DFP	0.0075581	9	10	3.07289891027777e-07	0
DFP	0.005436	7	8	1.28604118514939e-05	0
DFP	0.0072359	8	9	1.57429113627891e-07	-2.22044604925031e-16
DFP	0.0098119	8	9	1.73712371654611e-07	2.22044604925031e-16
DFP	0.0108277	12	13	2.03696265453205e-07	0
BFGS	0.0079803	9	10	3.1903929645856e-07	0
BFGS	0.0064015	9	10	6.63705841922093e-07	0
BFGS	0.0064591	8	9	4.19058556266781e-07	0
BFGS	0.0090813	12	13	1.00524362200407e-07	0
BFGS	0.0065894	9	10	2.4042113632978e-07	0
BFGS	0.0066602	9	10	2.87247144272443e-07	0
BFGS	0.0070723	9	10	3.60904755447033e-07	0
BFGS	0.0073883	10	11	9.28672321872867e-08	0
BFGS	0.0082346	9	10	3.89255797812991e-07	0
BFGS	0.0084386	9	10	1.6535996486022e-07	0
BFGS	0.0092127	8	9	1.85101522361858e-07	-1.66533453693773e-16
BFGS	0.0074941	9	10	1.03629268690217e-07	0
BFGS	0.0073913	9	10	3.29759511179219e-08	0
BFGS	0.0052452	8	9	1.92551335377133e-07	0
BFGS	0.0073888	9	10	6.37595474819252e-07	0
BFGS	0.008413	11	12	4.27337576510552e-07	0
BFGS	0.0074307	9	10	6.77528273724375e-07	0
BFGS	0.008897	10	11	5.15357344114736e-07	0
BFGS	0.0073433	8	9	2.35126430763967e-07	1.11022302462516e-16
BFGS	0.0069053	9	10	4.34464771323059e-07	0
BFGS	0.0072001	10	11	3.72644280715699e-07	0
BFGS	0.0091296	10	11	4.96430401584383e-08	4.9960036108132e-16
BFGS	0.0083717	11	12	2.06908995520996e-07	0
BFGS	0.0068731	8	9	1.44720314300508e-07	-6.66133814775094e-16
BFGS	0.0081654	11	12	1.26395807279941e-06	0
BFGS	0.0060734	8	9	3.05169507143603e-07	0
BFGS	0.0073727	9	10	8.19074504849474e-08	3.88578058618805e-16
BFGS	0.0069816	10	11	4.47562260529303e-07	0
BFGS	0.0072028	9	10	6.02718378238949e-08	5.55111512312578e-17
BFGS	0.0052349	8	9	1.15936118792608e-07	0
BFGS	0.0087133	11	12	6.43128231846234e-07	0
