Metodos	DFP	BFGS	Huang	Biggs
Media	9.78	10.14	9.46	10.26
Mediana	10	10	9	10
Desvio_Padrao	1.16566526507573	1.03035559544325	1.16426380347481	1.17473401244707
Erro_Padrao	0.164849962705733	0.145714285714286	0.164651766105416	0.166132477258362
Variancia	1.35877551020408	1.06163265306122	1.35551020408163	1.38
Minimo	8	9	7	8
Maximo	13	13	13	14
N_Dados	50	50	50	50
