Metodos	DFP	BFGS	Huang	Biggs
Media	0.01247831	0.014860284	0.026888052	0.013023796
Mediana	0.01002965	0.0140797	0.0107282	0.01267145
Desvio_Padrao	0.00545670192135042	0.00507896366371032	0.100377054861185	0.00354294663579136
Erro_Padrao	0.000771694186300109	0.000718273929601928	0.0141954592335756	0.000501048318310027
Variancia	2.97755958584694e-05	2.57958718972898e-05	0.0100755531426054	1.25524708640653e-05
Minimo	0.0070108	0.0072256	0.006836	0.0071344
Maximo	0.0256568	0.0258647	0.7214363	0.0209201
N_Dados	50	50	50	50
