Metodos	DFP	BFGS	Huang	Biggs
Média	5.94	6.12	6.2	5.92
Mediana	6	6	6	6
Desvio Padrão	0.818410604994429	0.848528137423857	1.14285714285714	0.69517286060551
Erro Padrão	0.115740737717309	0.12	0.161624407128354	0.0983122887662014
Variância	0.669795918367347	0.72	1.30612244897959	0.483265306122448
Mínimo	5	5	4	5
Máximo	9	9	10	8
Nº de Dados	50	50	50	50
