Metodos	DFP	BFGS	Huang	Biggs
Media	2.22044604925031e-18	-1.22124532708767e-17	-1.11022302462516e-17	3.33066907387547e-18
Mediana	0	0	0	0
Desvio_Padrao	6.90971753172929e-17	1.53480952863979e-16	7.1810693408633e-17	9.41053607995843e-17
Erro_Padrao	9.7718162455387e-18	2.17054845106185e-17	1.01555656541905e-17	1.33085077534786e-17
Variancia	4.77441963682871e-33	2.3556402892035e-32	5.15677568782869e-33	8.85581893121994e-33
Minimo	-2.22044604925031e-16	-6.66133814775094e-16	-4.44089209850063e-16	-4.44089209850063e-16
Maximo	3.33066907387547e-16	4.9960036108132e-16	1.11022302462516e-16	4.44089209850063e-16
N_Dados	50	50	50	50
