spl	Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	DFP	0.0087489	5	283	1.16962149812341	0
2	DFP	0.0089484	5	282	1.1544992332137	0
3	DFP	0.018692	9	608	0.027654267936845	2.22044604925031e-16
4	DFP	0.0131206	6	432	0.587238577917249	-1.33226762955019e-15
5	DFP	0.0192681	11	765	0.0505624309031365	-3.33066907387547e-16
6	DFP	0.0099885	6	360	1.28634239546807	0
7	DFP	0.0115945	6	429	0.0583369924739976	5.55111512312578e-17
8	DFP	0.0070108	4	287	0.112106518573953	1.11022302462516e-16
9	DFP	0.0111675	6	362	1.22453420063769	0
10	DFP	0.0100029	6	356	1.04975856026618	0
11	DFP	0.0084678	4	283	0.0960670044503097	-1.11022302462516e-16
12	DFP	0.0079978	5	285	1.29189904381192	0
13	DFP	0.009313	6	357	1.20962325169841	0
14	DFP	0.0073893	4	287	0.154315960254015	-1.11022302462516e-16
15	DFP	0.0097966	5	361	0.435039455650846	-1.11022302462516e-16
16	DFP	0.0113394	6	354	0.126211368984092	0
17	DFP	0.0125202	6	336	0.258853312553257	0
18	DFP	0.0206952	11	792	0.0896315299258704	-2.77555756156289e-16
19	DFP	0.0095569	5	356	0.0554686894357703	-8.32667268468867e-16
20	DFP	0.0120985	6	431	0.0756172304892424	-8.88178419700125e-16
21	DFP	0.0213657	12	846	0.00812532689622538	3.88578058618805e-16
22	DFP	0.009918	5	356	0.375083978969816	-1.66533453693773e-16
23	DFP	0.0077021	5	283	0.536547659101485	0
24	DFP	0.0100564	6	357	1.00234709234738	0
25	DFP	0.0075575	5	283	1.28356534075842	0
26	DFP	0.0244966	13	933	0.0925022498958453	2.77555756156289e-16
27	DFP	0.011279	5	356	0.884588108923758	-1.22124532708767e-15
28	DFP	0.0168354	9	558	0.292579802436525	0
29	DFP	0.0256568	13	894	0.109228354844773	2.22044604925031e-16
30	DFP	0.011241	6	363	1.14947998719295	0
31	DFP	0.0099244	5	367	0.834272345910934	-1.16573417585641e-15
32	DFP	0.0075176	4	288	1.05408292755585	-1.77635683940025e-15
33	DFP	0.0235105	14	971	0.00425976558947265	-2.77555756156289e-16
34	DFP	0.0172042	10	693	0.00616397218849607	1.66533453693773e-16
35	DFP	0.0105317	7	419	1.19163873249336	0
36	DFP	0.0151725	8	575	1.20801805316036	-6.10622663543836e-16
37	DFP	0.0244047	13	919	0.00887437137853232	1.11022302462516e-16
38	DFP	0.0116507	6	420	0.0579563284198426	2.77555756156289e-16
39	DFP	0.0091527	6	362	0.283061169713823	0
40	DFP	0.0243956	13	907	0.00443810376594113	-3.33066907387547e-16
41	DFP	0.0094159	6	348	0.82484057601042	0
42	DFP	0.0119596	7	426	0.226128538674995	0
43	DFP	0.0184917	10	686	0.0434139261537467	-1.66533453693773e-16
44	DFP	0.0099353	6	356	0.166331058839583	0
45	DFP	0.007681	4	284	1.06231416370266	-8.32667268468867e-16
46	DFP	0.0075676	4	288	0.166476196451873	2.22044604925031e-16
47	DFP	0.0089145	6	351	0.0621250892962188	0
48	DFP	0.0074794	5	287	0.30130256666689	0
49	DFP	0.0080498	5	281	1.02745863694641	0
50	DFP	0.0071307	5	288	0.215857177188964	0
