spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	0.0105611	6	339	6.90833381120759e-07	0
2	0.0095385	6	362	1.39498074422405e-06	0
3	0.0105451	6	355	3.4878466715569e-07	0
4	0.0113507	6	359	7.23532568531643e-07	0
5	0.0083844	5	299	8.79801013105567e-07	0
6	0.0110762	6	362	3.63328993220393e-07	0
7	0.0167918	8	507	3.3214502332179e-08	0
8	0.0123447	6	343	4.85978804402355e-07	0
9	0.0101889	6	342	4.66366869783109e-07	0
10	0.0108538	6	354	1.11349224780853e-06	0
11	0.009946	5	325	1.38209198167519e-07	0
12	0.0099636	6	346	5.20875343540483e-07	0
13	0.0108994	6	374	2.41663457949778e-07	0
14	0.0144374	6	358	6.46318880773776e-08	0
15	0.011275	5	283	3.31445817925874e-07	0
16	0.0159959	7	432	1.1698553209531e-06	0
17	0.0113653	6	354	2.38122586383937e-07	0
18	0.0094246	6	345	2.98530956874725e-08	0
19	0.0113702	6	361	2.27191895893994e-07	0
20	0.0114265	6	359	3.67219602817175e-07	0
21	0.009511	6	349	1.12728679154071e-06	0
22	0.0112285	6	364	2.57629734581458e-07	0
23	0.0118358	6	357	2.67551850606532e-07	0
24	0.0151275	8	516	1.03655808382083e-07	0
25	0.0104181	6	341	6.39698772153887e-08	0
26	0.0078836	5	286	4.49957538729962e-07	0
27	0.0130873	6	369	6.37379893443134e-07	0
28	0.0085516	5	279	4.0563045388736e-08	0
29	0.0103769	6	363	2.16479566142002e-07	0
30	0.0127844	6	337	4.62875105972237e-07	0
31	0.0133104	7	417	6.33850063772147e-07	0
32	0.0108198	6	333	1.55064328911127e-07	0
33	0.0094435	6	352	3.96595578155549e-07	0
34	0.0156913	9	569	9.32660462267988e-08	0
35	0.0082722	5	267	1.60173858117076e-07	0
36	0.0114374	7	438	8.51503659467234e-07	0
37	0.0124025	8	491	9.33617011290576e-08	0
38	0.010605	6	357	1.09435648635677e-05	0
39	0.0105727	6	343	4.180129538255e-08	0
40	0.0097189	6	371	1.44500832031836e-07	0
41	0.0117073	6	362	4.33660632854842e-07	0
42	0.0097719	5	275	4.5507114733268e-07	0
43	0.0095144	6	361	1.77218170854942e-07	0
44	0.010481	6	357	3.4954416919067e-07	0
45	0.0133761	8	505	5.24578883910117e-07	0
46	0.0104146	6	362	7.15088926255191e-07	0
47	0.0092003	6	352	1.01333131236808e-07	0
48	0.0118512	6	359	1.70810973678954e-07	0
49	0.0074761	5	280	3.34407175388403e-07	0
50	0.0091001	6	336	1.40983283862546e-07	0
