spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	0.0118727	6	358	5.04460434508581e-08	0
2	0.0123	5	290	5.12236031853269e-07	0
3	0.0109897	6	362	2.74301984997917e-08	0
4	0.0130695	8	489	8.26302292186012e-08	0
5	0.0095396	6	357	7.6130864525628e-07	0
6	0.0098708	6	359	2.46777560605661e-07	0
7	0.0077494	5	289	1.22908556734748e-07	0
8	0.0112218	7	426	1.56045812633839e-07	0
9	0.0105541	6	361	1.36518968673634e-06	0
10	0.0092766	6	351	6.15799899695259e-07	0
11	0.0096737	6	357	7.23726370402538e-07	0
12	0.007718	5	272	4.80791265302644e-07	0
13	0.0093751	6	360	5.78465535538203e-07	0
14	0.0103122	6	363	4.05422865147688e-07	0
15	0.0121987	7	431	4.12448616967229e-08	0
16	0.0075173	5	276	1.96399040783188e-07	0
17	0.0100373	6	358	1.10494326354691e-07	0
18	0.0088392	6	358	2.88313056811288e-07	0
19	0.0099347	6	351	1.13849951290147e-07	0
20	0.0099225	6	359	1.16793882455102e-06	0
21	0.0075473	5	286	1.9161442600915e-08	0
22	0.0108895	6	349	9.07384504399914e-07	0
23	0.0133974	8	497	1.13356197708868e-09	0
24	0.0071366	5	294	2.38553041630971e-07	0
25	0.0085321	5	271	4.46862361023925e-07	0
26	0.0090779	6	347	2.56750116664599e-07	0
27	0.0103919	6	358	5.41692337000076e-07	0
28	0.0107501	6	369	5.04608873931001e-07	0
29	0.0088383	6	354	8.98590100019518e-08	0
30	0.0086595	5	292	1.19612828835553e-07	0
31	0.0073086	5	277	1.2831606785247e-07	0
32	0.0101157	6	350	1.37531828308411e-06	0
33	0.008955	6	330	2.45786343788653e-07	0
34	0.0092321	6	355	2.55852561433776e-08	0
35	0.0098169	6	362	2.05678474699571e-07	0
36	0.0098152	6	361	1.07686943790387e-07	0
37	0.0105759	6	357	3.7767317844881e-07	0
38	0.0121715	7	412	4.78271095017018e-07	0
39	0.0083684	5	280	1.35864409802396e-07	0
40	0.0092705	6	355	1.38344186229946e-07	0
41	0.0106805	6	368	1.32970220018793e-06	0
42	0.0097274	6	359	4.168403861253e-07	0
43	0.009451	6	363	1.15355703000946e-07	0
44	0.0106366	6	369	1.43303538038245e-07	0
45	0.0094782	6	358	6.86280953279706e-07	0
46	0.0099685	6	364	4.40400078658246e-07	0
47	0.0094712	6	327	1.30093051847951e-08	0
48	0.011876	7	438	2.49103644335694e-07	0
49	0.0078719	5	291	1.7395312787167e-07	0
50	0.0081956	5	271	4.27460153097505e-07	0
