Metodos	DFP	BFGS	Huang	Biggs
Media	7.58	7.28	7.52	7.5
Mediana	8	7	8	8
Desvio_Padrao	1.01196918562428	0.881557064030944	0.973946317089104	1.09264703862703
Erro_Padrao	0.143114054701351	0.124670995595837	0.137736809065074	0.154523626091314
Variancia	1.02408163265306	0.777142857142857	0.948571428571429	1.19387755102041
Minimo	6	6	6	6
Maximo	10	9	9	11
N_Dados	50	50	50	50
