DFP	BFGS	Huang	Biggs
4.12836446239344e-07	6.07462198648188e-07	6.68324874528955e-07	3.67739403385311e-07
3.22614118075803e-07	3.41595921272047e-07	3.16167780971828e-07	2.46281952197157e-07
3.81002653618381e-07	1.52684122247667e-06	1.38077331538773e-06	3.57565529991056e-07
5.38819120047253e-08	2.15927956441683e-07	1.95270834918419e-07	5.05674021950475e-08
1.45163022064248e-13	2.33124411865406e-12	1.90653494848682e-12	1.27853108237785e-13
9.05513654392319e-10	2.98530956874725e-08	2.56766325874625e-08	1.13356197708868e-09
1.49913080651159e-06	1.09435648635677e-05	9.51999310192534e-06	1.37531828308411e-06
50	50	50	50
