Metodos	DFP	BFGS	Huang	Biggs
Média	-2.22044604925031e-18	-2.44249065417534e-17	-1.77635683940025e-17	-2.22044604925031e-18
Mediana	0	0	0	0
Desvio Padrão	1.06370675043438e-16	1.42372404993629e-16	1.69875895432979e-16	1.54571091044955e-16
Erro Padrão	1.50430851285212e-17	2.01344986049666e-17	2.40240795241593e-17	2.18596533306582e-17
Variância	1.13147205091968e-32	2.026990170367e-32	2.88578198491564e-32	2.38922221868277e-32
Mínimo	-4.44089209850063e-16	-5.55111512312578e-16	-6.66133814775094e-16	-8.88178419700125e-16
Máximo	4.44089209850063e-16	4.44089209850063e-16	5.55111512312578e-16	3.33066907387547e-16
Nº de Dados	50	50	50	50
