DFP	BFGS	Huang	Biggs
3.40075174112847e-07	8.46773309969774e-07	7.2047240047852e-07	5.97681709230364e-07
2.27151762968531e-07	1.96437414624053e-07	1.71008920314555e-07	1.68519493041054e-07
6.14696419674161e-07	2.23614430982573e-06	1.72857503957427e-06	1.3883181038975e-06
8.69312013445382e-08	3.16238561037896e-07	2.44457426454555e-07	1.96337829141995e-07
3.77851688360232e-13	5.00034137436597e-12	2.9879716674392e-12	1.92742715760956e-12
2.80244128916939e-08	1.49628395539296e-08	1.17306429434936e-08	4.45637512386593e-09
4.28160782250448e-06	1.30604876387476e-05	1.08660850792791e-05	7.15844440184037e-06
50	50	50	50
