Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
0	0.0133214	6	336	2.62069289535517e-07	0
0	0.0142658	6	364	4.32266230882289e-07	0
0	0.0141836	6	354	3.44075303751628e-07	0
0	0.0144443	6	357	9.87954700980081e-07	0
0	0.0161113	6	359	2.03906423961289e-08	0
0	0.0157302	6	378	9.05513654392319e-10	0
0	0.013782	6	358	2.97330310346634e-07	0
0	0.0103866	5	287	1.24294347104501e-07	0
0	0.0118546	5	284	4.3787614704948e-07	0
0	0.013103	6	350	3.59710122915445e-07	0
0	0.014477	5	285	1.98117045642759e-07	0
0	0.0161234	6	339	4.96170418025834e-07	0
0	0.0168247	6	361	2.01919247252878e-07	0
0	0.0151282	6	359	7.64011894293693e-07	0
0	0.0133939	5	290	6.44730122234266e-07	0
0	0.0155723	6	357	3.15882063337919e-07	0
0	0.0138494	5	297	1.7270896993777e-07	0
0	0.0121155	5	292	4.8041989873618e-09	0
0	0.0161796	6	319	6.62279815013338e-09	0
0	0.0150641	6	346	1.09556119227653e-06	0
0	0.015717	6	358	1.69859910372294e-07	0
0	0.0157871	6	365	3.3441669363626e-07	0
0	0.0158711	6	345	4.37033407361881e-07	0
0	0.0121156	5	289	1.06816185362146e-06	0
0	0.0226453	9	573	2.28626573994494e-07	0
0	0.0195801	8	527	6.63622573274291e-07	0
0	0.013167	5	291	9.34055980478035e-07	0
0	0.0134416	6	352	8.71781966806176e-08	0
0	0.0162197	8	510	1.67971156824432e-08	0
0	0.0128556	6	353	3.78704591788306e-07	0
0	0.0145843	7	431	3.44681825039992e-08	0
0	0.0130634	6	361	1.25864531508291e-07	0
0	0.0133154	6	359	3.5981337531769e-07	0
0	0.0127011	6	353	1.49913080651159e-06	0
0	0.0125696	6	341	4.69607085646523e-07	0
0	0.0130785	5	294	1.48336201429179e-07	0
0	0.013543	6	354	6.35744225644076e-07	0
0	0.0125094	6	349	3.56029526076697e-08	0
0	0.0103272	5	292	5.84862928099266e-08	0
0	0.0120539	6	350	3.29346172813686e-07	0
0	0.014798	7	406	1.12978066563435e-07	0
0	0.011996	6	354	1.0744550093392e-06	0
0	0.0096201	5	278	5.41697106175314e-07	0
0	0.0116633	6	375	2.74463906525269e-07	0
0	0.010585	5	289	7.5396802918364e-08	0
0	0.0116574	6	359	4.75930705469048e-08	0
0	0.0108623	6	348	1.09096366714098e-06	0
0	0.0095733	5	271	5.75931942936553e-07	0
0	0.0125145	6	351	2.82045076494796e-07	0
0	0.0129807	7	425	1.38404038088845e-06	0
1	0.0144004	6	339	6.90833381120759e-07	0
1	0.0131864	6	362	1.39498074422405e-06	0
1	0.0128488	6	355	3.4878466715569e-07	0
1	0.0118822	6	359	7.23532568531643e-07	0
1	0.0116286	5	299	8.79801013105567e-07	0
1	0.0121596	6	362	3.63328993220393e-07	0
1	0.0152563	8	507	3.3214502332179e-08	0
1	0.0111216	6	343	4.85978804402355e-07	0
1	0.009808	6	342	4.66366869783109e-07	0
1	0.0116682	6	354	1.11349224780853e-06	0
1	0.0109674	5	325	1.38209198167519e-07	0
1	0.0129356	6	346	5.20875343540483e-07	0
1	0.0105577	6	374	2.41663457949778e-07	0
1	0.012123	6	358	6.46318880773776e-08	0
1	0.0114936	5	283	3.31445817925874e-07	0
1	0.0136266	7	432	1.1698553209531e-06	0
1	0.0112075	6	354	2.38122586383937e-07	0
1	0.0118351	6	345	2.98530956874725e-08	0
1	0.0142258	6	361	2.27191895893994e-07	0
1	0.0166422	6	359	3.67219602817175e-07	0
1	0.0117665	6	349	1.12728679154071e-06	0
1	0.0123004	6	364	2.57629734581458e-07	0
1	0.011105	6	357	2.67551850606532e-07	0
1	0.0145333	8	516	1.03655808382083e-07	0
1	0.0125794	6	341	6.39698772153887e-08	0
1	0.013517	5	286	4.49957538729962e-07	0
1	0.0132678	6	369	6.37379893443134e-07	0
1	0.0105997	5	279	4.0563045388736e-08	0
1	0.0112669	6	363	2.16479566142002e-07	0
1	0.0110791	6	337	4.62875105972237e-07	0
1	0.0139374	7	417	6.33850063772147e-07	0
1	0.0114149	6	333	1.55064328911127e-07	0
1	0.0124477	6	352	3.96595578155549e-07	0
1	0.0168032	9	569	9.32660462267988e-08	0
1	0.008522	5	267	1.60173858117076e-07	0
1	0.0202255	7	438	8.51503659467234e-07	0
1	0.0176036	8	491	9.33617011290576e-08	0
1	0.0099911	6	357	1.09435648635677e-05	0
1	0.012801	6	343	4.180129538255e-08	0
1	0.0146685	6	371	1.44500832031836e-07	0
1	0.0164189	6	362	4.33660632854842e-07	0
1	0.0127718	5	275	4.5507114733268e-07	0
1	0.0135845	6	361	1.77218170854942e-07	0
1	0.0128898	6	357	3.4954416919067e-07	0
1	0.0202428	8	505	5.24578883910117e-07	0
1	0.0170649	6	362	7.15088926255191e-07	0
1	0.0141717	6	352	1.01333131236808e-07	0
1	0.0134489	6	359	1.70810973678954e-07	0
1	0.0105629	5	280	3.34407175388403e-07	0
1	0.0114548	6	336	1.40983283862546e-07	0
2	0.0162509	6	374	3.34993914770464e-08	0
2	0.0170624	8	500	2.48309785543265e-07	0
2	0.014176	6	377	5.73124459501222e-07	0
2	0.0097154	5	287	8.26662849814194e-07	0
2	0.0095267	5	297	3.71607406214636e-07	0
2	0.0117197	6	350	1.39085296629605e-07	0
2	0.0115703	6	354	4.70789698337597e-07	0
2	0.0109824	6	350	2.84172327326411e-07	0
2	0.0165967	9	575	6.0466686942067e-08	0
2	0.0133115	7	420	1.8574648570716e-07	0
2	0.0125352	6	337	6.82377352367269e-07	0
2	0.00881	4	234	9.51999310192534e-06	0
2	0.0110872	6	353	7.4221446629625e-07	0
2	0.0120094	6	344	2.18034966501458e-06	0
2	0.0120905	6	360	3.18646827271229e-07	0
2	0.0116548	6	351	1.08886133275152e-06	0
2	0.013944	7	432	9.06684633803882e-07	0
2	0.0093243	5	285	1.12861204295513e-06	0
2	0.0092279	5	284	2.1752018229836e-07	0
2	0.0135126	6	361	2.47966435179576e-07	0
2	0.0160954	5	286	6.54546762217842e-07	0
2	0.0159257	8	511	3.28333992789547e-07	0
2	0.0100265	6	347	2.72018251997447e-07	0
2	0.0116241	6	348	7.36200428635078e-07	0
2	0.012827	6	372	2.04190482285268e-07	0
2	0.0154107	8	497	1.31604829475418e-06	0
2	0.0134797	7	416	6.36416437541541e-08	0
2	0.011095	6	363	4.22538705768691e-08	0
2	0.0117329	6	362	7.27939222060747e-08	0
2	0.0131234	6	358	6.95978412445634e-08	0
2	0.0188917	10	635	5.20003803139147e-07	0
2	0.0157021	8	503	1.00773210254745e-07	0
2	0.0121082	6	355	2.28519366135589e-07	0
2	0.0128381	6	365	2.7408178028564e-07	0
2	0.0096146	5	290	7.8429790999662e-07	0
2	0.0109836	6	350	7.14480978401791e-07	0
2	0.0109329	5	286	4.02866659992066e-08	0
2	0.0119821	6	353	8.48789441714819e-08	0
2	0.0112335	6	349	2.56766325874625e-08	0
2	0.0109041	6	358	6.93001976686203e-07	0
2	0.011228	6	361	3.74790657849383e-07	0
2	0.0130832	6	363	5.12308104989406e-08	0
2	0.010642	6	367	2.68832329200775e-06	0
2	0.0111858	6	360	1.15056892969524e-06	0
2	0.0129946	6	357	3.13688734672427e-07	0
2	0.0124135	6	363	3.98082790035365e-07	0
2	0.0168009	9	569	1.26876647686675e-07	0
2	0.0092562	5	288	1.19392170634842e-07	0
2	0.0119746	6	363	1.87260285176121e-07	0
2	0.0095884	5	282	5.53712222715756e-07	0
3	0.0119066	6	358	5.04460434508581e-08	0
3	0.0107446	5	290	5.12236031853269e-07	0
3	0.0130887	6	362	2.74301984997917e-08	0
3	0.0157918	8	489	8.26302292186012e-08	0
3	0.0111412	6	357	7.6130864525628e-07	0
3	0.0107656	6	359	2.46777560605661e-07	0
3	0.0113326	5	289	1.22908556734748e-07	0
3	0.0136831	7	426	1.56045812633839e-07	0
3	0.0116548	6	361	1.36518968673634e-06	0
3	0.0109591	6	351	6.15799899695259e-07	0
3	0.0125673	6	357	7.23726370402538e-07	0
3	0.0096412	5	272	4.80791265302644e-07	0
3	0.0112596	6	360	5.78465535538203e-07	0
3	0.0111559	6	363	4.05422865147688e-07	0
3	0.0160575	7	431	4.12448616967229e-08	0
3	0.0108929	5	276	1.96399040783188e-07	0
3	0.0122252	6	358	1.10494326354691e-07	0
3	0.0104825	6	358	2.88313056811288e-07	0
3	0.0127846	6	351	1.13849951290147e-07	0
3	0.012767	6	359	1.16793882455102e-06	0
3	0.0110241	5	286	1.9161442600915e-08	0
3	0.0110504	6	349	9.07384504399914e-07	0
3	0.0160412	8	497	1.13356197708868e-09	0
3	0.0091462	5	294	2.38553041630971e-07	0
3	0.010185	5	271	4.46862361023925e-07	0
3	0.0138199	6	347	2.56750116664599e-07	0
3	0.0165205	6	358	5.41692337000076e-07	0
3	0.01331	6	369	5.04608873931001e-07	0
3	0.0106954	6	354	8.98590100019518e-08	0
3	0.0098681	5	292	1.19612828835553e-07	0
3	0.0101712	5	277	1.2831606785247e-07	0
3	0.0109353	6	350	1.37531828308411e-06	0
3	0.0104105	6	330	2.45786343788653e-07	0
3	0.0111265	6	355	2.55852561433776e-08	0
3	0.0102581	6	362	2.05678474699571e-07	0
3	0.0115686	6	361	1.07686943790387e-07	0
3	0.012638	6	357	3.7767317844881e-07	0
3	0.0137355	7	412	4.78271095017018e-07	0
3	0.0085746	5	280	1.35864409802396e-07	0
3	0.0114191	6	355	1.38344186229946e-07	0
3	0.0131499	6	368	1.32970220018793e-06	0
3	0.012225	6	359	4.168403861253e-07	0
3	0.0110667	6	363	1.15355703000946e-07	0
3	0.0110735	6	369	1.43303538038245e-07	0
3	0.0126731	6	358	6.86280953279706e-07	0
3	0.0133394	6	364	4.40400078658246e-07	0
3	0.0121858	6	327	1.30093051847951e-08	0
3	0.0129874	7	438	2.49103644335694e-07	0
3	0.0092035	5	291	1.7395312787167e-07	0
3	0.0106435	5	271	4.27460153097505e-07	0
