DFP	BFGS	Huang	Biggs
351.5	364.14	372.04	349.82
352.5	357	358	357.5
60.125124633924	62.5051867235587	80.5640726125384	50.3962624140533
8.5029766696668	8.83956827831194	11.3934804128663	7.12710777988677
3615.0306122449	3906.89836734694	6490.56979591837	2539.78326530612
271	267	234	271
573	569	635	497
50	50	50	50
