Metodos	DFP	BFGS	Huang	Biggs
Média	-1.69864122767649e-16	-2.20934381900406e-16	-1.93178806284777e-16	-2.50910403565285e-16
Mediana	0	0	0	0
Desvio Padrão	4.48655318255533e-16	4.37597080990908e-16	4.20708491248149e-16	4.75312650930183e-16
Erro Padrão	6.34494435907791e-17	6.1885572679222e-17	5.94971654128654e-17	6.72193597312973e-17
Variância	2.01291594598973e-31	1.91491205291763e-31	1.76995634608294e-31	2.25922116134278e-31
Mínimo	-1.77635683940025e-15	-1.83186799063151e-15	-1.60982338570648e-15	-1.72084568816899e-15
Máximo	3.88578058618805e-16	3.33066907387547e-16	3.33066907387547e-16	3.33066907387547e-16
Nº de Dados	50	50	50	50
