Metodos	DFP	BFGS	Huang	Biggs
Media	455.02	527.14	992.44	479.8
Mediana	358.5	462.5	362.5	480
Desvio_Padrao	212.103410473981	205.233765173635	3863.12867896011	132.650376738928
Erro_Padrao	29.9959519717891	29.024437416545	546.328897097785	18.7595961838093
Variancia	44987.8567346939	42120.8983673469	14923763.1902041	17596.1224489796
Minimo	281	276	278	270
Maximo	971	949	27744	721
N_Dados	50	50	50	50
