Metodos	DFP	BFGS	Huang	Biggs
Media	0.007370658	0.007485798	0.010265286	0.009644186
Mediana	0.0068286	0.00691995	0.00995385	0.008398
Desvio_Padrao	0.00220588849470166	0.00257445941601141	0.00379933670258322	0.0039202982425076
Erro_Padrao	0.000311959742628985	0.000364083542190245	0.000537307349281506	0.000554413894310165
Variancia	4.86594405105714e-06	6.6278412846898e-06	1.44349593795959e-05	1.53687383102082e-05
Minimo	0.004174	0.0044677	0.0047541	0.0042371
Maximo	0.0139661	0.0185815	0.0195524	0.0235074
N_Dados	50	50	50	50
