Metodos	DFP	BFGS	Huang	Biggs
Media	0.00980796	0.009630726	0.010126076	0.009500878
Mediana	0.00960275	0.00936495	0.00976345	0.00931425
Desvio_Padrao	0.00170466496654424	0.00177301787999433	0.00212889855957565	0.00150586589644548
Erro_Padrao	0.000241076031498914	0.000250742593221797	0.000301071721586843	0.000212961597386832
Variancia	2.90588264816326e-06	3.14359240277959e-06	4.53220907696327e-06	2.26763209807755e-06
Minimo	0.0069857	0.0067871	0.0058371	0.0067758
Maximo	0.0154792	0.0154606	0.0176455	0.0134274
N_Dados	50	50	50	50
