spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0215266	8	9	8.17859445084137e-07	0	Biggs
2	0.0107653	8	9	4.87170485009191e-07	0	Biggs
3	0.0112959	10	11	7.74408168179224e-07	0	Biggs
4	0.0155341	10	11	3.48963036793989e-07	0	Biggs
5	0.0124314	8	9	2.12412722682227e-07	1.11022302462516e-16	Biggs
6	0.0081357	9	10	3.60533134133921e-07	0	Biggs
7	0.0074028	8	9	2.38218091194312e-07	0	Biggs
8	0.0106215	9	10	3.28709450623114e-07	0	Biggs
9	0.006671	9	10	7.12274994912268e-07	0	Biggs
10	0.0093234	9	10	4.45439087179742e-07	0	Biggs
11	0.0112934	10	11	4.86534050652993e-07	0	Biggs
12	0.007497	9	10	6.43326106984836e-07	0	Biggs
13	0.0089489	9	10	1.52465530439644e-07	0	Biggs
14	0.0060457	9	10	7.94385213187043e-07	0	Biggs
15	0.009506	9	10	9.25307922151652e-08	0	Biggs
16	0.0080886	9	10	1.0240834570199e-07	0	Biggs
17	0.0078288	9	10	6.55127200952258e-09	0	Biggs
18	0.0146216	9	10	3.79289803928695e-08	0	Biggs
19	0.0109244	10	11	2.13913542525241e-07	1.11022302462516e-16	Biggs
20	0.0066092	9	10	2.1001623144576e-08	5.55111512312578e-17	Biggs
21	0.0075688	8	9	5.39652388789274e-09	0	Biggs
22	0.0102141	9	10	2.74230294827784e-07	0	Biggs
23	0.0086603	9	10	3.70148875689181e-08	0	Biggs
24	0.0090374	10	11	7.74126504722787e-06	0	Biggs
25	0.0063105	8	9	7.52490615320072e-07	0	Biggs
26	0.0065152	9	10	2.62884268750935e-07	0	Biggs
27	0.0069814	9	10	9.27243953674004e-06	0	Biggs
28	0.006195	8	9	2.50309394587393e-05	0	Biggs
29	0.0122601	8	9	1.73242126135598e-07	0	Biggs
30	0.0174197	9	10	2.60133631864117e-07	-1.11022302462516e-16	Biggs
31	0.0094418	9	10	2.14709841600544e-07	4.44089209850063e-16	Biggs
32	0.0071619	10	11	3.09004888642713e-06	0	Biggs
33	0.0114634	11	12	1.96539077863208e-06	0	Biggs
34	0.0069589	10	11	3.78485033912083e-07	0	Biggs
35	0.0061702	9	10	5.18842580673323e-07	0	Biggs
36	0.0101832	12	13	4.32291250241199e-07	0	Biggs
37	0.0042371	7	8	8.97191594095945e-07	0	Biggs
38	0.0106317	13	14	6.58749730161562e-08	0	Biggs
39	0.0071993	11	12	2.48077138215518e-07	0	Biggs
40	0.0060984	9	10	3.67627895222771e-07	0	Biggs
41	0.0065171	8	9	6.50767588859387e-06	0	Biggs
42	0.0064232	9	10	5.34478406230823e-08	0	Biggs
43	0.0072071	7	8	3.22711423475081e-08	-4.44089209850063e-16	Biggs
44	0.0070705	10	11	3.74630309578286e-08	0	Biggs
45	0.0114608	10	11	5.54822890057432e-08	0	Biggs
46	0.0072932	10	11	3.60736616386069e-06	0	Biggs
47	0.0080099	12	13	1.61497415777853e-07	0	Biggs
48	0.0120082	10	11	5.95009746274531e-07	0	Biggs
49	0.0235074	10	11	1.66723053892034e-07	0	Biggs
50	0.0169322	9	10	1.45141550151807e-07	0	Biggs
