Metodos	DFP	BFGS	Huang	Biggs
Media	1.3850765376973e-06	3.1794180308852e-07	3.01358756375385e-07	1.4125537711526e-06
Mediana	3.42053745626409e-07	2.41970803603036e-07	1.91868091224252e-07	3.01469872725449e-07
Desvio_Padrao	3.10817648431526e-06	2.45739622689728e-07	3.16180656899827e-07	3.90814251658077e-06
Erro_Padrao	4.39562533836776e-07	3.47528307220261e-08	4.4714697314777e-08	5.52694815063544e-07
Variancia	9.66076105765035e-12	6.038796215969e-14	9.99702077976063e-14	1.52735779299063e-11
Minimo	7.67315117816049e-09	3.29759511179219e-08	8.22026174910176e-09	5.39652388789274e-09
Maximo	1.37342599666162e-05	1.26395807279941e-06	1.70489852615792e-06	2.50309394587393e-05
N_Dados	50	50	50	50
