spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0513241	10	721	1.06471828028858	-1.4432899320127e-15	Biggs
2	0.0173589	4	287	0.539353440292636	-1.38777878078145e-15	Biggs
3	0.018798	5	364	0.0864736732188264	-3.33066907387547e-16	Biggs
4	0.0179754	5	289	1.2513276846475	0	Biggs
5	0.0262865	10	673	1.19687210384231	-5.55111512312578e-17	Biggs
6	0.0154205	5	353	1.16777715635287	-1.60982338570648e-15	Biggs
7	0.0246931	7	418	1.25971413793074	0	Biggs
8	0.0339399	9	640	0.00744579539009288	3.33066907387547e-16	Biggs
9	0.0192062	9	622	0.990462382279318	1.66533453693773e-16	Biggs
10	0.0126748	5	356	0.754851824806347	-6.10622663543836e-16	Biggs
11	0.0114598	4	282	0.0759072898740175	2.22044604925031e-16	Biggs
12	0.0221576	10	676	1.2615320520611	0	Biggs
13	0.0180131	9	639	0.373679961843657	0	Biggs
14	0.0186666	9	554	1.21808605929418	0	Biggs
15	0.0104965	6	430	1.07174442191357	-1.72084568816899e-15	Biggs
16	0.0120524	7	425	1.28726616943308	0	Biggs
17	0.0176054	9	540	1.1580997762622	0	Biggs
18	0.017107	8	564	1.08682444074139	-2.22044604925031e-16	Biggs
19	0.0161275	8	470	0.216290227437039	0	Biggs
20	0.0201431	9	661	0.447940928676619	-2.22044604925031e-16	Biggs
21	0.0069381	4	270	0.0751215693529643	-2.22044604925031e-16	Biggs
22	0.0167577	9	596	0.858065093597635	-4.44089209850063e-16	Biggs
23	0.0173166	9	625	0.516377722688264	-2.22044604925031e-16	Biggs
24	0.015816	6	359	0.275382883830685	0	Biggs
25	0.0127071	6	361	1.24666675486034	0	Biggs
26	0.0112598	5	286	0.834227858961205	0	Biggs
27	0.0155959	8	483	0.610839502793025	0	Biggs
28	0.0094612	5	357	0.0400607896002319	-7.7715611723761e-16	Biggs
29	0.0131997	7	488	0.943543689781671	-1.66533453693773e-16	Biggs
30	0.0170857	8	564	0.808319920757457	-3.33066907387547e-16	Biggs
31	0.0245119	7	432	1.30350952735099	0	Biggs
32	0.0171787	8	525	1.16641995751438	-6.10622663543836e-16	Biggs
33	0.0096156	6	358	1.15660863102202	0	Biggs
34	0.0166733	10	678	1.24551334154075	0	Biggs
35	0.0074529	4	285	0.0459329486367984	-2.22044604925031e-16	Biggs
36	0.0089586	5	357	0.0555890387323405	-5.55111512312578e-16	Biggs
37	0.0135946	8	551	0.95984753355556	-1.11022302462516e-16	Biggs
38	0.017175	10	624	1.28287366961219	0	Biggs
39	0.0217513	7	438	0.827369026744688	0	Biggs
40	0.0214149	8	484	1.22939074156845	0	Biggs
41	0.0233734	8	477	1.27539549383793	0	Biggs
42	0.0175473	9	653	0.872422933787249	1.11022302462516e-16	Biggs
43	0.0176984	8	483	1.2215758213823	0	Biggs
44	0.0199926	9	561	1.27962797911348	0	Biggs
45	0.0176121	10	608	1.16057851609985	0	Biggs
46	0.0101677	6	423	0.772185992827472	-6.10622663543836e-16	Biggs
47	0.0115843	6	357	0.0472556363824131	0	Biggs
48	0.0191714	9	632	0.121173381929366	1.66533453693773e-16	Biggs
49	0.007973	4	287	1.18062408683429	-4.44089209850063e-16	Biggs
50	0.0163178	6	424	0.865399405841417	-1.22124532708767e-15	Biggs
