Metodos	DFP	BFGS	Huang	Biggs
Media	6.9	7.84	14.32	7.26
Mediana	6	7	6	8
Desvio_Padrao	2.8517806825253	2.85971312961169	53.1042255899679	1.93580653443868
Erro_Padrao	0.403302691814089	0.404424509239326	7.5100716048653	0.273764385513365
Variancia	8.13265306122449	8.17795918367347	2820.05877551021	3.74734693877551
Minimo	4	4	4	4
Maximo	14	13	382	10
N_Dados	50	50	50	50
