spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.024725	7	8	2.25682630904993e-07	0	BFGS
2	0.0159484	6	7	1.10447508154891e-07	-2.22044604925031e-16	BFGS
3	0.0094467	7	8	2.44956026829428e-07	0	BFGS
4	0.006448	9	10	2.13495782439386e-07	0	BFGS
5	0.0068535	7	8	2.51548898031967e-06	0	BFGS
6	0.0082064	7	8	5.59202189452952e-07	0	BFGS
7	0.0047223	8	9	8.12546187295495e-07	0	BFGS
8	0.008196	6	7	4.49723919893185e-07	0	BFGS
9	0.0062896	7	8	1.25704456996517e-07	-3.33066907387547e-16	BFGS
10	0.0091214	6	7	3.53459206735952e-08	-3.33066907387547e-16	BFGS
11	0.005951	8	9	7.3444710524534e-08	0	BFGS
12	0.0089612	8	9	5.38320653037103e-08	0	BFGS
13	0.0059864	7	8	2.01197564255863e-08	0	BFGS
14	0.0090518	6	7	3.44485598950405e-07	0	BFGS
15	0.0057798	8	9	5.05728141371335e-08	0	BFGS
16	0.0082024	8	9	2.31902356839051e-08	0	BFGS
17	0.009276	6	7	1.78942967986437e-07	2.22044604925031e-16	BFGS
18	0.0078753	7	8	3.26578442812088e-08	1.11022302462516e-16	BFGS
19	0.0083238	8	9	1.97807123553592e-07	0	BFGS
20	0.005941	8	9	1.58480822308404e-07	0	BFGS
21	0.0070218	7	8	1.07316320393124e-06	0	BFGS
22	0.0040683	6	7	1.30604876387476e-05	0	BFGS
23	0.0070246	8	9	6.17178420533972e-08	0	BFGS
24	0.0075053	9	10	1.46032019647185e-07	0	BFGS
25	0.0056658	8	9	6.2242246853912e-08	0	BFGS
26	0.0070317	8	9	8.05244870174159e-06	0	BFGS
27	0.0058089	8	9	2.35669685761229e-07	0	BFGS
28	0.0088493	8	9	1.29479057311013e-07	0	BFGS
29	0.006438	8	9	1.95067705694514e-07	-2.22044604925031e-16	BFGS
30	0.0042545	7	8	1.17739827043858e-07	0	BFGS
31	0.006834	8	9	2.78695454780316e-07	0	BFGS
32	0.0072915	7	8	2.08181414291676e-07	0	BFGS
33	0.0102907	8	9	1.33892383730749e-07	0	BFGS
34	0.0097425	7	8	3.16031345898873e-07	0	BFGS
35	0.0082317	9	10	3.82791369687319e-08	0	BFGS
36	0.0079941	7	8	2.1724342360312e-06	0	BFGS
37	0.006295	8	9	1.49628395539296e-08	0	BFGS
38	0.0092792	7	8	2.68648026930547e-08	-3.33066907387547e-16	BFGS
39	0.0185321	8	9	4.82357175690527e-08	-1.11022302462516e-16	BFGS
40	0.0109497	6	7	1.62013231145068e-06	0	BFGS
41	0.0062271	6	7	2.18983094063614e-08	0	BFGS
42	0.0087638	7	8	5.24659442643209e-06	0	BFGS
43	0.0052502	7	8	3.12839925055797e-07	0	BFGS
44	0.0069152	7	8	4.85378931865858e-07	0	BFGS
45	0.0059638	6	7	3.07192634533601e-07	1.11022302462516e-16	BFGS
46	0.0081961	8	9	1.6143933743049e-07	0	BFGS
47	0.003913	6	7	1.30631982657447e-07	4.44089209850063e-16	BFGS
48	0.0057614	8	9	2.62047043140258e-07	0	BFGS
49	0.0060108	7	8	6.97474041277013e-07	0	BFGS
50	0.0044758	6	7	2.95283752820979e-07	-5.55111512312578e-16	BFGS
