Metodos	DFP	BFGS	Huang	Biggs
Media	0.013923492	0.007917838	0.006689634	0.01254021
Mediana	0.00970615	0.00702815	0.0060708	0.0128658
Desvio_Padrao	0.00924571172556119	0.00355633244020595	0.00209978511170811	0.00516415111392463
Erro_Padrao	0.00130754109160806	0.000502941356924666	0.000296954458304671	0.000730321254345634
Variancia	8.54831853121796e-05	1.26475004252612e-05	4.40909751535102e-06	2.6668456727449e-05
Minimo	0.0045489	0.003913	0.0041681	0.0043529
Maximo	0.038657	0.024725	0.0135349	0.0222152
N_Dados	50	50	50	50
